maalaji,value,X,Y,Z,nro,korko
Sa,000.40,6709159.129,246456.18,25.496,1,25.096
Hk,001.00,6709159.129,246456.18,25.496,1,24.496
Sa,001.20,6709159.129,246456.18,25.496,1,24.296
Mr,015.60,6709159.129,246456.18,25.496,1,9.895999999999999
Sa,0.40,6709348.456,247856.753,41.166,1,40.766
Ki,0.62,6709348.456,247856.753,41.166,1,40.546
Sa,0.40,6709560.691,246124.08,29.095,1,28.695
Sa,0.60,6709560.691,246124.08,29.095,1,28.494999999999997
Sa,0.80,6709560.691,246124.08,29.095,1,28.294999999999998
Sa,1.00,6709560.691,246124.08,29.095,1,28.095
Sa,1.60,6709560.691,246124.08,29.095,1,27.494999999999997
Sa,1.80,6709560.691,246124.08,29.095,1,27.294999999999998
Sa,2.00,6709560.691,246124.08,29.095,1,27.095
Sa,2.20,6709560.691,246124.08,29.095,1,26.895
Sa,2.40,6709560.691,246124.08,29.095,1,26.695
Sa,2.60,6709560.691,246124.08,29.095,1,26.494999999999997
Sa,2.80,6709560.691,246124.08,29.095,1,26.294999999999998
Sa,3.00,6709560.691,246124.08,29.095,1,26.095
Sa,3.20,6709560.691,246124.08,29.095,1,25.895
Sa,3.40,6709560.691,246124.08,29.095,1,25.695
Sa,3.60,6709560.691,246124.08,29.095,1,25.494999999999997
Sa,3.80,6709560.691,246124.08,29.095,1,25.294999999999998
Sa,4.00,6709560.691,246124.08,29.095,1,25.095
Sa,4.20,6709560.691,246124.08,29.095,1,24.895
Sa,4.40,6709560.691,246124.08,29.095,1,24.695
Sa,4.60,6709560.691,246124.08,29.095,1,24.494999999999997
Sa,4.80,6709560.691,246124.08,29.095,1,24.294999999999998
Sa,5.00,6709560.691,246124.08,29.095,1,24.095
Sa,5.20,6709560.691,246124.08,29.095,1,23.895
Sa,5.40,6709560.691,246124.08,29.095,1,23.695
Sa,5.60,6709560.691,246124.08,29.095,1,23.494999999999997
Sa,5.80,6709560.691,246124.08,29.095,1,23.294999999999998
Sa,6.00,6709560.691,246124.08,29.095,1,23.095
Sa,6.20,6709560.691,246124.08,29.095,1,22.895
