PO,OM,Or,TY,TT,X,Y,Z,pvm,nro,AL,KL,SA,Si,KI,Sa,liSa,Hk,Sr,SrMr,Ki,Mr,Hksa,Sasi,Srmr,Hksr,Ka,Paattymissyvyys
,Kaarinan kaupunki,Kaarinan kaupunki,1483,PA  0 0,6709236.262,246183.146,27.762,22012014,12,0.00,,[],[],[],"['0.40', '0.80', '1.00', '1.20', '1.40', '1.60', '1.80', '2.00', '2.20', '2.40', '2.60', '2.80', '3.00', '3.20', '3.40', '3.60', '3.80', '4.00', '4.20', '4.40', '4.60', '4.80', '5.00', '5.20', '5.40', '5.60', '5.80', '6.00', '6.20', '6.40', '6.60', '6.80']",[],[],[],[],[],[],[],[],[],[],[],9.62
,Kaarinan kaupunki,Kaarinan kaupunki,1484,PA  0 0,6709133.62,246343.548,25.892,27012014,21,0.00,,[],[],[],"['0.40', '0.60', '0.80', '1.00', '1.20', '1.40', '1.60', '1.80', '2.00', '2.20', '2.40', '2.60', '2.80', '3.00', '3.20', '3.40', '3.60', '3.80', '4.00', '4.20', '4.40', '4.60', '4.80', '5.00', '5.20', '5.40', '5.60', '5.80', '6.00', '6.20', '6.40', '6.60', '6.80', '7.00', '7.20', '7.40', '7.60', '7.80', '8.00', '8.20', '8.40', '8.60', '8.80', '9.00', '9.20', '9.40', '9.60', '9.80', '10.00', '10.20', '10.40', '10.60', '10.80', '11.00', '11.20', '11.40', '11.60', '11.80', '12.00', '12.20', '12.40', '12.60', '12.80', '13.00', '13.20', '13.40', '13.60', '13.80', '14.00', '14.20', '14.40', '14.60', '14.80', '15.00', '15.20', '15.40', '15.60', '15.80', '16.00', '16.20', '16.40', '16.60']",[],[],[],[],[],[],[],[],[],[],[],25.02
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,6709175.715,247264.06,28.563,10022022,64,0.20,,[],[],[],['0.60'],[],[],[],[],['2.62'],[],[],[],[],[],[],2.98
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,6709202.023,247378.674,27.188,09022022,73,0.20,,[],[],[],"['0.80', '11.50']",[],[],[],[],['9.92'],[],[],[],[],[],[],13.56
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,6709191.727,247542.389,32.224,11022020,29,000.20  -,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],000.52
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,6709129.762,247591.619,30.365,10022020,32,000.20  -,,[],[],[],['000.40'],[],['001.20'],[],[],['002.00'],['003.17'],[],[],[],[],[],003.17
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,6709081.791,247601.41,29.531,10022020,50,000.40  -,,[],[],[],['000.60'],[],[],['002.80'],[],['003.76'],['003.94'],[],[],[],[],[],003.94
,Kaarinan kaupunki,Kaarinan kaupunki,20463,PO - 0,6708978.595,247628.107,29.144,12092022,3,000.00  -        Ma,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['004.80'],008.00
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,6709106.452,247689.314,29.253,10022020,82,000.60  -,,[],[],[],"['000.80', '004.80']",[],[],[],[],['009.51'],['009.67'],[],[],[],[],[],009.67
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,6709030.716,247720.671,29.239,11022020,36,000.60  -,,[],[],[],"['000.80', '007.60']",[],['015.00'],[],[],['015.03'],[],[],[],[],[],[],015.03
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,6709187.715,247730.269,32.417,18022020,16,000.40  Lk,,[],[],[],"['001.00', '001.20']",[],['000.60'],"['000.80', '001.60']",[],['002.00'],"['001.80', '002.67']",[],[],[],[],[],002.67
,Kaarinan kaupunki,Kaarinan kaupunki,20005 -,NO 1 - - -,6708937.957,247757.31,29.249,16032022,83,,,[],[],[],"['0.00', '1.00', '2.00', '3.00']",[],[],[],[],[],[],[],[],[],[],[],
,Kaarinan kaupunki,Kaarinan kaupunki,14538,PA - 0,6709561.532,246064.574,29.784,14122020,36,000.00  -,,[],[],[],['000.20'],[],[],[],[],[],"['016.40', '018.50', '018.94']",[],[],[],[],[],018.94
,Kaarinan kaupunki,Kaarinan kaupunki,14538,SI  0 0,6709526.508,246196.759,28.1,12012021,37,0.00,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],13.00
,Kaarinan kaupunki,Kaarinan kaupunki,14538,PA - 0,6709394.88,246263.846,27.02,14122020,28,000.00  -,,[],[],[],"['000.20', '000.80']",[],['000.60'],[],[],[],"['016.40', '018.33']",[],[],[],[],[],018.33
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,6709318.337,247431.703,26.758,14022020,70,000.40  -,,[],[],[],"['000.60', '001.00', '001.40', '010.00', '018.60']",[],[],[],[],['019.94'],[],[],[],[],[],[],019.99
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,6709261.835,247492.815,27.123,09022020,26,000.40  -,,[],[],[],"['000.60', '009.00']",[],[],['015.44'],[],"['014.21', '015.68']",['015.83'],[],[],[],[],[],015.83
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,6709330.719,247797.018,44.879,14022022,14,0.20,,[],[],[],['0.40'],[],[],[],[],['0.86'],[],[],[],[],[],[],1.90
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,6709345.167,247977.876,38.317,11022022,4,0.20,,[],[],[],['0.40'],[],[],[],[],['1.12'],[],[],[],[],[],[],2.32
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,6709303.712,247994.005,36.837,17022022,11,0.20,,[],[],[],['1.20'],[],[],[],[],['2.26'],[],[],[],[],[],[],2.94
,Kaarinan kaupunki,Kaarinan kaupunki,,PA - 0,6709101.303,246097.816,27.225,08122020,17,000.00  -,,[],[],[],['000.20'],[],[],[],[],[],"['010.80', '018.13']",[],[],[],[],[],018.18
,Kaarinan kaupunki,Kaarinan kaupunki,14538,PA - 0,6709064.206,246106.398,27.18,10122020,16,000.00  -,,[],[],[],['000.20'],[],['011.00'],['009.40'],[],[],"['012.80', '019.72']",[],[],[],[],[],019.72
